,ID,Dataset,Ground Truth,OCR Text,Actual WER,Actual CER,Effective CER
0,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Claims: Scotland Yard has reportedly interviewed the wife of a soldier that said Princess Diana was assassinated by the SAS .,"Claims: Scotlane Yard has ropohtedky interviiwkd rhe wife of a ,oldier that said Princess Disna wa, assassinated by rhn SAS .",0.5714285714285714,0.096,0.14634146341463414
1,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Prince Charles and Mohamed Al Fayed are being contacted by police as they assess claims that the SAS murdered Princess Diana.,Princw Charles andrMohamed Ak Fayed are being cottsctne ay police ss tboynassess claims rbat rhe SAS tnadarod Princess Duanuv,0.5714285714285714,0.192,0.36923076923076925
2,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Scotland Yard said they are also getting in touch with Lord Justice Scott Baker, the judge who presided over the inquest into her death.","Scrtlund Yard said they ,roaalso getting en tonwb with Lord Justicw Scotr Baker, the judge who presided ovar rhennnquest inrr her death.",0.5833333333333334,0.125,0.22077922077922077
3,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Diana, 36, Mr Al Fayed's son Dodi, 42, and chauffeur Henri Paul, 41, all died in a crash in Paris in August 1997.","Dianu, .b, Mr Al Fayed's sonrDodi,r42, andrchauffnur Henri Punl. 41, all died in a crash inaParis in Augnsr I997.",0.5652173913043478,0.13274336283185842,0.22058823529411764
4,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Police are currently carrying out a 'scoping exercise' as they look into claims that the trio were murdered by a member of the British Military.,Police are currently carryiog ouraa 'scoping exercise' as tbeyakockainto claimsnthat the trio were buhderednhy a me her of the Britisb Mikitary.,0.56,0.11805555555555555,0.21794871794871795
5,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,They have not launched a full investigation. Royal .,They have actnlannchie a fulk investigation. Rryal .,0.5555555555555556,0.15384615384615385,0.32
6,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,bodyguards and MPs have brushed off accusations that the Princess of .,"bceyguaresaandnMPs have baumbadrrff accusations that rha Prince,s of .",0.5833333333333334,0.2,0.32558139534883723
7,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Wales' death 16 years ago was carried out by British special . forces who then 'covered it up'.,"Wales' death 16 year,aago wa, cshried cur by British special .nforces wbo rhea 'covered it np'.",0.5555555555555556,0.12631578947368421,0.2727272727272727
8,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,The sensational allegation surfaced in the second court martial of Sergeant .,"The  ens,tion,l allegation surfaced in the second cruat maatial of Seageatt .",0.5833333333333334,0.1038961038961039,0.17391304347826086
9,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Danny Nightingale, the SAS sniper convicted of illegally stashing a .","DandyrNightingale, rherSAS snipor convicted of iklegukky stashing uav",0.6363636363636364,0.17391304347826086,0.35294117647058826
